source,relation,target
D_3a6b2715,HAS_RISK,R_d883539f
D_3a6b2715,HAS_RISK,R_18fe3f08
D_3a6b2715,HAS_RISK,R_e7a47a62
D_3a6b2715,HAS_RISK,R_73e0428c
D_3a6b2715,HAS_RISK,R_0cbb807f
D_3a6b2715,HAS_RISK,R_8081001b
D_3a6b2715,HAS_RISK,R_e5bbb59c
D_3a6b2715,HAS_RISK,R_d0120163
D_3a6b2715,HAS_RISK,R_d05cee82
D_3a6b2715,HAS_RISK,R_40534c1e
D_3a6b2715,HAS_RISK,R_35c068fc
D_3a6b2715,HAS_RISK,R_7cccd988
D_3a6b2715,TREATED_BY,T_91a20adf
D_3a6b2715,TREATED_BY,T_b214c262
D_3a6b2715,TREATED_BY,T_11d5a3ed
D_3a6b2715,TREATED_BY,T_910ac857
D_3a6b2715,TREATED_BY,T_efb17554
D_3a6b2715,TREATED_BY,T_4ff3bba6
D_3a6b2715,TREATED_BY,T_d9f4ad38
D_3a6b2715,TREATED_BY,T_87436c25
D_3a6b2715,TREATED_BY,T_bfa0df59
D_3a6b2715,DIAGNOSED_BY,T_dfab93b0
D_3a6b2715,DIAGNOSED_BY,T_60d093b4
D_3a6b2715,DIAGNOSED_BY,T_42e14aa1
D_3a6b2715,HAS_COMPLICATION,C_b24e705e
D_3a6b2715,HAS_COMPLICATION,C_dde7572e
D_3a6b2715,HAS_COMPLICATION,C_a82e6a8b
D_3a6b2715,HAS_COMPLICATION,C_e8e09bed
D_3a6b2715,PREVENTED_BY,P_d64b228b
D_3a6b2715,PREVENTED_BY,P_47d07ae6
D_3a6b2715,PREVENTED_BY,P_7220e9f4
D_3a6b2715,PREVENTED_BY,P_d4aa3b67
D_3a6b2715,PREVENTED_BY,P_6f97ce86
D_3a6b2715,PREVENTED_BY,P_a8a13d4c
D_3a6b2715,PREVENTED_BY,P_59b658f4
D_3a6b2715,PREVENTED_BY,P_44d44387
D_3a6b2715,PREVENTED_BY,P_3f30b325
D_3a6b2715,PREVENTED_BY,P_9ab99f70
D_3a6b2715,PREVENTED_BY,P_38d94806
D_3a6b2715,PREVENTED_BY,P_857fe5e5
D_3a6b2715,PREVENTED_BY,P_fbc76009
D_3a6b2715,PREVENTED_BY,P_e3a663f2
D_3a6b2715,PREVENTED_BY,P_a78bd02e
D_3a6b2715,PREVENTED_BY,P_b3017a53
D_3a6b2715,PREVENTED_BY,P_cacb01ef
D_3a6b2715,PREVENTED_BY,P_4f7fe452
D_3609723c,HAS_CAUSE,C_a8ab9ae9
D_3609723c,HAS_CAUSE,C_3f96900c
D_3609723c,HAS_CAUSE,C_6d2673a5
D_3609723c,HAS_CAUSE,C_6a39a006
D_3609723c,HAS_CAUSE,C_6a98b2d3
D_3609723c,HAS_RISK,R_9f44d671
D_3609723c,HAS_RISK,R_363bce6b
